OTA_GLOBAL_ID,Description,Note
PROTOCOL_SECTION__GAN_TCP,,used by current real MD case?
PROTOCOL_SECTION__GAN_UDP,,used by current real MD case?
PROTOCOL_SECTION__GSM_RLCMAC_DL,gsm_rlcmac_dl,
PROTOCOL_SECTION__GSM_RLCMAC_UL,gsm_rlcmac_ul,
PROTOCOL_SECTION__LLC,llcgprs,
PROTOCOL_SECTION__NAS,gsm_a_dtap,
PROTOCOL_SECTION__NAS_MM_UL,gsm_a_dtap,
PROTOCOL_SECTION__NAS_MM_DL,gsm_a_dtap,
PROTOCOL_SECTION__NAS_GMM_UL,gsm_a_dtap,
PROTOCOL_SECTION__NAS_GMM_DL,gsm_a_dtap,
PROTOCOL_SECTION__NAS_SMS_RPDU,gsm_a_rp,
PROTOCOL_SECTION__NAS_SMS_TPDU,gsm_sms,
PROTOCOL_SECTION__NAS_SMS_TPDU_DELIVER,gsm_sms,
PROTOCOL_SECTION__NAS_SMS_TPDU_DELIVER_REPORT_ACK,gsm_sms,
PROTOCOL_SECTION__NAS_SMS_TPDU_DELIVER_REPORT_NACK,gsm_sms,
PROTOCOL_SECTION__NAS_SMS_TPDU_STATUS_REPORT,gsm_sms,
PROTOCOL_SECTION__NAS_SMS_TPDU_COMMAND,gsm_sms,
PROTOCOL_SECTION__NAS_SMS_TPDU_SUBMIT,gsm_sms,
PROTOCOL_SECTION__NAS_SMS_TPDU_SUBMIT_REPORT_ACK,gsm_sms,
PROTOCOL_SECTION__NAS_SMS_TPDU_SUBMIT_REPORT_NACK,gsm_sms,
PROTOCOL_SECTION__NAS_SMS_TPDU_END,gsm_sms,
PROTOCOL_SECTION__NAS_CC_UL,gsm_a_dtap,
PROTOCOL_SECTION__NAS_CC_DL,gsm_a_dtap,
PROTOCOL_SECTION__NAS_SM,gsm_a_dtap,
PROTOCOL_SECTION__NAS_END,gsm_a_dtap,
PROTOCOL_SECTION__RR,gsm_a_dtap,
PROTOCOL_SECTION__RR_with_pseudolength,gsm_a_ccch,
PROTOCOL_SECTION__RR_short_PD,gsm_a_sacch,
PROTOCOL_SECTION__RR_dl_with_pseudolength,gsm_a_ccch,
